Abkhazia,Sokhumi,Georgia
Abruzzo,L'Aquila,Italy
Abu Dhabi,Abu Dhabi,United Arab Emirates
Aegean Coast of Turkey,Izmir,Turkey
Aegean Islands,Chios,Greece
Ajman,Ajman,United Arab Emirates
Al Bahah,Al Bahah,Saudi Arabia
Al Jawf,Sakaka,Saudi Arabia
Al Madinah,Medina,Saudi Arabia
Al Qasim,Buraidah,Saudi Arabia
Al Riyadh,Riyadh,Saudi Arabia
Alabama,Montgomery,USA
Aland,Mariehamn,Finland
Alaska,Juneau,USA
Albanian Coast,Durres,Albania
Alberta,Edmonton,Canada
Alentejo,Evora,Portugal
Algarve,Faro,Portugal
Alsace,Strasbourg,France
Amazonica,Leticia,Colombia
Andalucia,Sevilla,Spain
Andhra Pradesh,Hyderabad,India
Andina,Medellin,Colombia
Anhui,Hefei,China
Aosta Valley,Aosta,Italy
Apulia,Bari,Italy
Aquitaine,Bordeaux,France
Aragon,Zaragoza,Spain
Argentine Northwest,San Miguel de Tucuman,Argentina
Arizona,Phoenix,USA
Arkansas,Little Rock,USA
Asir,Abha,Saudi Arabia
Asturias,Oviedo,Spain
Attica,Athens,Greece
Auckland,Auckland,New Zealand
Auvergne,Clermont-Ferrand,France
Azores,Ponta Delgada,Portugal
Baden-Wurttemberg,Stuttgart,Germany
Baja,Mexicali,Mexico
Balearic Islands,Palma de Mallorca,Spain
Balochistan,Quetta,Pakistan
Banat,Timisoara,Romania
Basilicata,Potenza,Italy
Basque Country,Vitoria Gasteiz,Spain
Bassarabia,Odessa,Ukraine
Bavaria,Munich,Germany
Beersheba South District,Beersheba,Israel
Beijing,Beijing,China
Belgrade,Belgrade,Serbia
Beni and Cochabamba,Trinidad,Bolivia
Bihar,Patna,India
Black Sea Coast of Turkey,Samsun,Turkey
Bohus,Goteborg,Sweden
Bolivian Altiplano,La Paz,Bolivia
Brcko District,Brcko,Bosnia and Herzegovina
Brandenburg and Berlin,Berlin,Germany
Bratislava,Bratislava,Slovakia
Brestskaya,Brest,Belarus
British Columbia,Victoria,Canada
Brittany,Rennes,France
Brussels,Brussels,Belgium
Bucovina,Botosani,Romania
Bukovyna,Chernivtsi,Ukraine
Burgas,Burgas,Bulgaria
Burgenland,Eisenstadt,Austria
Burgundy,Dijon,France
Calabria,Catanzaro,Italy
California,Sacramento,USA
Campania,Naples,Italy
Canary Islands,Las Palmas de Gran Canaria,Spain
Cantabria,Santander,Spain
Canterbury,Canterbury,New Zealand
Caribe e Insular,Cartagena,Mexico
Carinthia,Klagenfurt,Austria
Castilla La Mancha,Toledo,Spain
Castilla y Leon,Valladolid,Spain
Catalonia,Barcelona,Spain
Center West of Brazil,Brasília,Brazil
Central Anatolia,Ankara,Turkey
Central Armenia,Yerevan,Armenia
Central Black Earth,Voronezh,Russia
Central Croatia,Zagreb,Croatia
Central East Chaco,Pozo Colorado,Paraguay
Central Greece,Lamia,Greece
Central Hungary,Budapest,Hungary
Central Montenegro,Podgorica,Montenegro
Central Slovakia,Zilina,Slovakia
Central Taiwan,Taichung,Republic of China (Taiwan)
Central Thailand,Bangkok,Thailand
Central Transdanubia,Szekesfehervar,Hungary
Central Venezuela,Valencia (Venezuela),Venezuela
Central Western Venezuela,Barquisimeto,Venezuela
Centro,Coimbra,Portugal
Chagang,Kanggye,North Korea
Champagne Ardenne,Chalons-en-Champagne,France
Charrua,Montevideo,Uruguay
Chhattisgarh,Raipur,India
Chimor,Trujillo,Peru
Chisinau,Chisinau,Republic of Moldova
Chongqing,Chongqing,China
Chubu,Nagoya,Japan
Chugoku,Hiroshima,Japan
Chungcheongbuk-do,Cheongju,South Korea
Chungcheongnam-do,Daejeon,South Korea
Chuquisaca and Tarija,Tarija,Bolivia
Colorado,Denver,USA
Connecticut,Hartford,USA
Cork,Cork,Ireland
Corsica,Ajaccio,France
Crete,Heraklion,Greece
Crisana,Oradea,Romania
Cundiboyacense,Bogota,Colombia
Cuyo,Mendoza,Argentina
Dainava,Vilnius,Lithuania
Delaware,Dover,USA
Deutschschweiz,Bern,Switzerland
District of Columbia,Washington D.C.,USA
Dnipro,Kiev,Ukraine
Dobrogea,Constanta,Romania
Donbas,Donetsk,Ukraine
Dubai,Dubai,United Arab Emirates
Dublin,Dublin,Ireland
East Midlands,Nottingham,UK
East of England,Norwich,UK
East Srpska Republic,Bijeljina,Bosnia and Herzegovina
Eastern Anatolia,Erzurum,Turkey
Eastern Cape,Bhisho,South Africa
Eastern Finland,Mikkeli,Finland
Eastern Macedonia,Stip,Republic of Macedonia (FYROM)
Eastern Netherlands,Arnhem,Netherlands
Eastern Province,Dammam,Saudi Arabia
Eastern Serbia,Zajecar,Serbia
Eastern Siberia,Krasnoyarsk,Russia
Eastern Slovakia,Kosice,Slovakia
Eastern Taiwan,Taitung,Republic of China (Taiwan)
Eastern Thailand,Rayong,Thailand
Emilia-Romagna,Bologna,Italy
Epirus,Ioannina,Greece
Esfahan,Isfahan,Iran
Extremadura,Merida,Spain
Far Eastern Russia,Khabarovsk,Russia
Fars,Shiraz,Iran
Federation of BiH,Sarajevo,Bosnia and Herzegovina
Flanders,Antwerp,Belgium
Florida,Tallahassee,USA
Franche-comte,Besancon,France
Free State,Bloemfontein,South Africa
Friuli-Venezia Giulia,Trieste,Italy
Fujairah,Fujairah,United Arab Emirates
Fujian,Fuzhou,China
Galicia,Santiago de Compostela,Spain
Galicia and Lodomeria,Lviv,Ukraine
Gangwon-do,Chuncheon,South Korea
Gansu,Lanzhou,China
Gauteng,Pretoria,South Africa
Gegharkunik,Gavar,Armenia
Georgia,Atlanta,USA
Gotaland,Orebro,Sweden
Gotland,Visby,Sweden
Graubunden,Chur,Switzerland
Great Andes,Cusco,Peru
Great Poland,Poznan,Poland
Guangdong,Guangzhou,China
Guangxi,Nanning,China
Guayana,Puerto Ayacucho,Venezuela
Guizhou,Guiyang,China
Gujarat,Gandhinagar,India
Gulf of Mexico,Veracruz,Mexico
Gyeonggi-do,Seoul,South Korea
Gyeongsangbuk-do,Daegu,South Korea
Gyeongsangnam-do,Changwon,South Korea
Ha'il,Ha'il,Saudi Arabia
Haifa district,Haifa,Israel
Hainan,Haikou,China
Hamgyong,Hamhung,North Korea
Hawaii,Honolulu,USA
Heilongjiang,Harbin,China
Henan,Zhengzhou,China
Hesse,Wiesbaden,Germany
Hokkaido,Sapporo,Japan
Homelskaya,Gomel,Belarus
Hormozgan,Bandar Abbas,Iran
Hovedstaden,Copenhagen,Denmark
Hrodzienskaya,Hrodna,Belarus
Hubei,Wuhan,China
Hunan,Changsha,China
Hwangae,Sariwŏn,North Korea
Idaho,Boise,USA
Illinois,Springfield,USA
Indiana,Indianapolis,USA
Inner Carniola,Postojna,Slovenia
Inner Kartli,Tbilisi,Georgia
Inner Mongolia,Hohhot,China
Ionian Islands,Corfu,Greece
Iowa,Des Moines,USA
Istria and Kvarner,Rijeka,Croatia
Jammu and Kashmir,Srinagar,India
Jamtland Harjedalen,Ostersund,Sweden
Java,Jakarta,Indonesia
Jeju,Jeju City,South Korea
Jeollabuk-do,Jeonju,South Korea
Jeollanam-do,Muan,South Korea
Jerusalem district,Jerusalem,Israel
Jharkhand,Ranchi,India
Jiangsu,Nanjing,China
Jiangxi,Nanchang,China
Jilin,Changchun,China
Jizan,Jizan,Saudi Arabia
Kalimantan,Samarinda,Indonesia
Kaliningrad,Kaliningrad,Russia
Kakheti,Telavi,Georgia
Kangwon,Wonsan,North Korea
Kansas,Topeka,USA
Kanto,Tokyo,Japan
Karnataka,Bangalore,India
